"DateiName"	"f_rev" "f_BB"
rs_u_out_020mvpp_3dB 9e5 5e6
rs_u_out_040mvpp_3dB 9e5 5e6
rs_u_out_060mvpp_3dB 9e5 5e6
rs_u_out_080mvpp_3dB 9e5 5e6
rs_u_out_100mvpp_3dB 9e5 5e6
rs_u_out_120mvpp_3dB 9e5 5e6
rs_u_out_140mvpp_3dB 9e5 5e6
rs_u_out_160mvpp_3dB 9e5 5e6
rs_u_out_180mvpp_3dB 9e5 5e6
rs_u_out_200mvpp_3dB 9e5 5e6
rs_u_out_220mvpp_3dB 9e5 5e6
rs_u_out_240mvpp_3dB 9e5 5e6
rs_u_out_260mvpp_3dB 9e5 5e6
rs_u_out_280mvpp_3dB 9e5 5e6
rs_u_out_300mvpp_3dB 9e5 5e6
rs_u_out_320mvpp_3dB 9e5 5e6
rs_u_out_340mvpp_3dB 9e5 5e6
rs_u_out_360mvpp_3dB 9e5 5e6
rs_u_out_380mvpp_3dB 9e5 5e6
rs_u_out_400mvpp_3dB 9e5 5e6
rs_u_out_420mvpp_3dB 9e5 5e6
rs_u_out_440mvpp_3dB 9e5 5e6
rs_u_out_460mvpp_3dB 9e5 5e6
rs_u_out_480mvpp_3dB 9e5 5e6
rs_u_out_500mvpp_3dB 9e5 5e6
rs_u_out_520mvpp_3dB 9e5 5e6
rs_u_out_540mvpp_3dB 9e5 5e6
rs_u_out_560mvpp_3dB 9e5 5e6
rs_u_out_580mvpp_3dB 9e5 5e6
rs_u_out_600mvpp_3dB 9e5 5e6
